flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
IBB417; ATR-42/72;13/04/18;13:50;FUERTEVENTURA;FUE;16;22;Nubosidad variable;6;13/04/18;14:40;TENERIFE NORTE;17;22;Nubosidad variable;2;Despego;Aterrizo;0 days 00:50:00;50;1
RYR6387; BOEING 737-800 WINGLETS;13/04/18;13:50;MALAGA-COSTA DEL SOL;AGP;8;16;Tormentas localmente fuertes;D51;13/04/18;15:25;BARCELONA-EL PRAT;12;17;Lluvia;23;Despego;Aterrizo;0 days 01:28:00;88;1
IBE8276; ATR-72;13/04/18;14:40;MALAGA-COSTA DEL SOL;AGP;8;16;Tormentas localmente fuertes;D63;13/04/18;15:30;MELILLA;12;18;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:43:00;43;1
RYR2054; BOEING 737-800 WINGLETS;13/04/18;14:15;PALMA DE MALLORCA;PMI;12;17;Lluvia;D83;13/04/18;15:50;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;10;Despego;Aterrizo;0 days 01:24:00;84;0
IBB147; BOMBARDIER CRJ-1000;13/04/18;14:00;GRAN CANARIA;LPA;16;21;Nubosidad variable;A11;13/04/18;14:30;TENERIFE NORTE;17;22;Nubosidad variable;3;Despego;Aterrizo;0 days 00:29:00;29;1
CNF730; ATR-42/72;13/04/18;14:05;LANZAROTE;ACE;17;22;Nubosidad variable;P4;13/04/18;14:50;GRAN CANARIA;16;21;Nubosidad variable;13;Despego;Aterrizo;0 days 00:44:00;44;1
IBB455; ATR-42/72;13/04/18;14:10;LANZAROTE;ACE;17;22;Nubosidad variable;P3;13/04/18;15:00;TENERIFE NORTE;17;22;Nubosidad variable;2;Despego;Aterrizo;0 days 00:51:00;51;0
IBB158; ATR-42/72;13/04/18;14:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4B;13/04/18;14:30;GRAN CANARIA;16;21;Nubosidad variable;11;Despego;Aterrizo;0 days 00:39:00;39;1
CNF452; ATR-72;13/04/18;14:20;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4A;13/04/18;14:50;LA PALMA;16;21;Nubosidad variable;2;Despego;Aterrizo;0 days 00:34:00;34;0
IBB148; ATR-72;13/04/18;14:30;TENERIFE NORTE;TFN;17;22;Nubosidad variable;2;13/04/18;15:00;GRAN CANARIA;16;21;Nubosidad variable;11;Despego;Aterrizo;0 days 00:33:00;33;1
VLG3261; AIRBUS A320;13/04/18;10:40;TENERIFE NORTE;TFN;17;22;Nubosidad variable;8;13/04/18;14:35;BILBAO;7;17;Lluvia moderada;5;Despego;Aterrizo;0 days 04:14:00;254;0
